"Time (s)","Sound pressure level (dB)"
1.620210000E2,5.485521148E1
1.623080000E2,5.814732367E1
1.625850000E2,5.829863647E1
1.628370000E2,5.473457172E1
1.631510000E2,5.323729241E1
1.634320000E2,5.795543593E1
1.637670000E2,5.845831909E1
1.640670000E2,5.883503284E1
1.643040000E2,5.933733684E1
1.645990000E2,5.316483696E1
1.648620000E2,5.628275472E1
1.651110000E2,5.612764782E1
1.654290000E2,5.739409022E1
1.657290000E2,5.275374209E1
1.660100000E2,5.606330732E1
1.662350000E2,4.973765069E1
1.664840000E2,4.855931683E1
1.667820000E2,4.830487304E1
1.670210000E2,5.643349546E1
1.672820000E2,5.752246312E1
1.675830000E2,5.576545129E1
1.678330000E2,5.583582770E1
1.681390000E2,5.301617697E1
1.684460000E2,5.088408561E1
1.686990000E2,5.149775091E1
1.690030000E2,6.019099852E1
1.692410000E2,6.143998752E1
1.695380000E2,6.183098470E1
1.697780000E2,5.964256200E1
1.701420000E2,5.648358262E1
1.703870000E2,5.768033788E1
1.706360000E2,5.037521789E1
1.709530000E2,5.268785935E1
1.712030000E2,5.850048969E1
1.714650000E2,5.537813713E1
1.717710000E2,5.989062491E1
1.720770000E2,6.371629733E1
1.723380000E2,5.413135778E1
1.726060000E2,5.582389161E1
1.729040000E2,6.344770094E1
1.731770000E2,6.038125570E1
1.735090000E2,5.229655017E1
1.737830000E2,5.594074665E1
1.740430000E2,6.258802116E1
1.743030000E2,5.773122794E1
1.745600000E2,5.533899998E1
1.748290000E2,5.069657364E1
1.750850000E2,6.285550191E1
1.753480000E2,5.470504416E1
1.756240000E2,5.746379759E1
1.758870000E2,5.928233462E1
1.761350000E2,5.214791610E1
1.763840000E2,5.260177806E1
1.767030000E2,4.844041050E1
1.769490000E2,5.275717684E1
1.772330000E2,5.436891746E1
1.774780000E2,5.441421810E1
1.777590000E2,5.485847839E1
1.780320000E2,5.714239097E1
1.782910000E2,6.028837304E1
1.785470000E2,5.706420775E1
1.788380000E2,5.509582512E1
1.791200000E2,5.674185072E1
1.794340000E2,5.437491314E1
1.796940000E2,5.696592309E1
1.799990000E2,5.344092263E1
1.802540000E2,5.414345246E1
1.804960000E2,5.421992498E1
1.808400000E2,5.317024536E1
1.811450000E2,5.422714635E1
1.814530000E2,5.933207779E1
1.817720000E2,5.916706050E1
1.820730000E2,5.685980261E1
1.824210000E2,5.521649456E1
1.826850000E2,5.651993888E1
1.829810000E2,5.707596711E1
1.832810000E2,5.464130538E1
1.836160000E2,5.364065008E1
1.838600000E2,5.913078622E1
1.841080000E2,5.695541400E1
1.843520000E2,6.237274690E1
1.846510000E2,6.017101966E1
1.848950000E2,5.670915019E1
1.851380000E2,5.651470649E1
1.854400000E2,5.919691857E1
1.857560000E2,5.752836475E1
1.860680000E2,6.133052078E1
1.863670000E2,6.001801442E1
1.866740000E2,5.871186574E1
1.869510000E2,5.858669373E1
1.872240000E2,5.722343490E1
1.875200000E2,5.725198568E1
1.877700000E2,5.560524182E1
1.880340000E2,5.419540118E1
1.882980000E2,6.169219144E1
1.885790000E2,5.704261604E1
1.888700000E2,5.651125138E1
1.891060000E2,5.778536485E1
1.894110000E2,5.304160496E1
1.896990000E2,5.105254388E1
1.900460000E2,5.338626279E1
1.902980000E2,5.090929652E1
1.905360000E2,5.235399183E1
1.907970000E2,5.429173243E1
1.910620000E2,5.376238901E1
1.913500000E2,6.411203098E1
1.916020000E2,6.235211697E1
1.919100000E2,5.719243884E1
1.922140000E2,5.965550680E1
1.925010000E2,5.850063986E1
1.928110000E2,6.013906156E1
1.930480000E2,5.912633730E1
1.934000000E2,5.860712099E1
1.936870000E2,5.944287516E1
1.939980000E2,5.676076088E1
1.942520000E2,5.712881871E1
1.945490000E2,5.515631677E1
1.948870000E2,5.670925955E1
1.951320000E2,5.768263389E1
1.954210000E2,5.735243887E1
1.957290000E2,5.883798740E1
1.960030000E2,5.654393164E1
1.963340000E2,5.345251733E1
1.966710000E2,5.034487882E1
1.969060000E2,5.741493139E1
1.971980000E2,5.877434013E1
1.974210000E2,5.965387227E1
1.977200000E2,6.306941384E1
1.979730000E2,6.004201692E1
1.982230000E2,6.106500017E1
1.984800000E2,5.674857861E1
1.987290000E2,6.020914127E1
1.990680000E2,6.067289060E1
1.993460000E2,5.996658083E1
1.996390000E2,5.676340490E1
1.999500000E2,5.612304129E1
2.002130000E2,6.289766509E1
2.005150000E2,5.720971103E1
2.008280000E2,5.752136939E1
2.010940000E2,6.058659890E1
2.013440000E2,5.618430636E1
2.016270000E2,6.056271249E1
2.019400000E2,5.729198827E1
2.022100000E2,5.793084452E1
2.025070000E2,5.787194228E1
2.027910000E2,5.959620014E1
2.030940000E2,6.012062596E1
2.033180000E2,6.276377758E1
2.036210000E2,5.834405857E1
2.039320000E2,5.545225289E1
2.042050000E2,5.829439447E1
2.044730000E2,5.799912649E1
2.047970000E2,5.444896398E1
2.050680000E2,5.743866699E1
2.053150000E2,5.862448994E1
2.055880000E2,5.778478934E1
2.058890000E2,5.527981007E1
2.061620000E2,5.742523507E1
2.064580000E2,5.472188821E1
2.067100000E2,6.202721053E1
2.069630000E2,5.861698013E1
2.072080000E2,6.294616718E1
2.074730000E2,6.321186761E1
2.077380000E2,5.776609523E1
2.080390000E2,6.061292698E1
2.083320000E2,5.857532480E1
2.085870000E2,5.800369352E1
2.088450000E2,5.977447345E1
2.091070000E2,5.957010157E1
2.093520000E2,6.145770306E1
2.096060000E2,6.176056517E1
2.098580000E2,6.033519811E1
2.100970000E2,6.429628489E1
2.103980000E2,6.215353584E1
2.106470000E2,6.299048914E1
2.109300000E2,6.133544133E1
2.112010000E2,5.397487394E1
2.114250000E2,5.313920655E1
2.116740000E2,5.552710709E1
2.119140000E2,5.692289703E1
2.121730000E2,5.618691953E1
2.124220000E2,5.402804715E1
2.127170000E2,5.390450402E1
2.129570000E2,5.652515030E1
2.132580000E2,5.490504921E1
2.135120000E2,5.485761082E1
2.137850000E2,6.486277416E1
2.140520000E2,6.121826472E1
2.143580000E2,6.355465948E1
2.146390000E2,5.534291145E1
2.148790000E2,6.610858745E1
2.151670000E2,5.617739728E1
2.154670000E2,5.426651762E1
2.157300000E2,5.840247716E1
2.160830000E2,5.257749691E1
2.163200000E2,6.345809118E1
2.165810000E2,6.020490407E1
2.168390000E2,5.603372378E1
2.170870000E2,5.452432165E1
2.173530000E2,5.679931822E1
2.176220000E2,6.225558234E1
2.179360000E2,5.991886985E1
2.182430000E2,6.307902574E1
2.184780000E2,6.764692456E1
2.187700000E2,6.696013302E1
2.190280000E2,6.419552300E1
2.193390000E2,6.401831507E1
2.196000000E2,6.317016249E1
2.198590000E2,6.093052958E1
2.201380000E2,6.446513941E1
2.204220000E2,6.075454080E1
2.206690000E2,6.712020778E1
2.209300000E2,5.440050354E1
2.212550000E2,5.627963451E1
2.215550000E2,6.358778444E1
2.217990000E2,5.793661873E1
2.220730000E2,6.448679664E1
2.223050000E2,5.844994198E1
2.226510000E2,5.802583418E1
2.229440000E2,5.848297014E1
2.231840000E2,6.170695891E1
2.234220000E2,6.201301769E1
2.236630000E2,6.049179870E1
2.239600000E2,6.316843106E1
2.242020000E2,5.818837652E1
2.245150000E2,6.411353278E1
2.248330000E2,6.458398711E1
2.250670000E2,6.303280227E1
2.253240000E2,6.378696379E1
2.255670000E2,6.157533943E1
2.259260000E2,5.845901257E1
2.261910000E2,5.623331182E1
2.264460000E2,5.550822889E1
2.267020000E2,5.907003722E1
